選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
田中　広輔,広島,0.29,143,679,565,164,8,60,35,89,15,120,6,5,0.398,0.407,0.805,6.41,6.26
桑原　将志,DeNA,0.269,143,664,598,161,13,52,10,45,11,116,10,8,0.332,0.415,0.747,4.68,4.54
秋山　翔吾,西武,0.322,143,659,575,185,25,89,16,72,5,97,0,4,0.398,0.536,0.933,8.2,7.96
丸　佳浩,広島,0.308,143,651,556,171,23,92,13,83,4,113,2,6,0.398,0.505,0.903,7.7,7.52
源田　壮亮,西武,0.27,143,647,575,155,3,57,37,36,6,100,26,5,0.317,0.351,0.669,4.08,4.03
浅村　栄斗,西武,0.291,143,633,574,167,19,99,5,44,8,96,1,17,0.347,0.453,0.799,5.47,5.39
菊池　涼介,広島,0.271,138,629,565,153,14,56,8,32,1,107,30,9,0.311,0.405,0.716,4.1,4.01
山田　哲人,ヤクルト,0.247,143,624,526,130,24,78,14,91,6,132,0,15,0.364,0.435,0.799,5.57,5.57
今宮　健太,ソフトバンク,0.264,141,623,526,139,14,64,15,38,4,93,52,12,0.317,0.422,0.739,4.26,4.2
西川　遥輝,日本ハム,0.296,138,623,541,160,9,44,39,69,4,103,6,6,0.378,0.416,0.794,6.37,6.17
坂本　勇人,巨人,0.291,142,614,539,157,15,61,14,68,3,85,1,16,0.372,0.43,0.802,5.69,5.55
坂口　智隆,ヤクルト,0.29,136,607,535,155,4,38,4,59,5,76,5,6,0.364,0.35,0.713,4.95,4.86
ロペス,DeNA,0.301,142,606,569,171,30,105,0,27,2,80,0,14,0.33,0.533,0.863,6.13,6.05
ウィーラー,楽天,0.271,142,605,542,147,31,82,7,50,10,98,0,14,0.342,0.493,0.835,5.79,5.76
京田　陽太,中日,0.264,141,602,564,149,4,36,23,18,9,105,10,5,0.297,0.355,0.652,3.58,3.5
筒香　嘉智,DeNA,0.284,139,601,503,143,28,94,1,93,2,115,0,7,0.396,0.513,0.909,7.59,7.45
中村　晃,ソフトバンク,0.27,143,600,511,138,6,42,3,67,3,57,14,5,0.355,0.35,0.705,4.63,4.65
Ｔ－岡田,オリックス,0.266,143,593,504,134,31,68,2,83,5,141,0,10,0.374,0.488,0.862,6.55,6.53
銀次,楽天,0.293,143,590,529,155,3,60,2,56,2,74,1,11,0.362,0.367,0.728,4.99,4.79
鈴木　大地,ロッテ,0.26,143,588,508,132,11,52,6,55,18,85,3,7,0.35,0.398,0.748,5.06,5.04
マギー,巨人,0.315,139,586,523,165,18,77,4,58,1,107,0,20,0.382,0.514,0.897,6.79,6.46
梶谷　隆幸,DeNA,0.243,137,578,511,124,21,60,21,62,3,157,0,10,0.327,0.427,0.754,5.0,5.0
松田　宣浩,ソフトバンク,0.264,143,577,531,140,24,71,5,43,1,128,0,16,0.319,0.458,0.777,4.84,4.84
島内　宏明,楽天,0.265,143,577,494,131,14,47,3,64,4,67,12,8,0.352,0.391,0.743,4.82,4.86
レアード,日本ハム,0.229,137,571,503,115,32,90,0,54,7,125,0,18,0.308,0.459,0.767,4.51,4.76
鳥谷　敬,阪神,0.293,143,570,488,143,4,41,8,77,2,62,1,13,0.39,0.377,0.767,5.46,5.29
柳田　悠岐,ソフトバンク,0.31,130,551,448,139,31,99,14,89,7,123,0,6,0.426,0.589,1.016,9.17,8.99
デスパイネ,ソフトバンク,0.262,136,545,478,125,35,103,3,59,5,119,0,14,0.347,0.513,0.859,6.01,6.09
中田　翔,日本ハム,0.216,129,542,472,102,16,67,0,61,5,103,0,14,0.31,0.367,0.676,3.69,3.85
倉本　寿彦,DeNA,0.262,143,539,507,133,2,50,3,18,4,102,9,10,0.292,0.331,0.624,3.2,3.08
福留　孝介,阪神,0.263,127,526,441,116,18,79,1,77,3,92,1,17,0.373,0.444,0.818,5.61,5.63
宮﨑　敏郎,DeNA,0.323,128,523,480,155,15,62,0,38,4,47,0,23,0.377,0.479,0.856,6.08,5.78
大島　洋平,中日,0.313,119,521,476,149,3,29,23,37,4,66,1,5,0.365,0.387,0.752,5.64,5.43
バレンティン,ヤクルト,0.254,125,519,445,113,32,80,0,70,3,112,0,18,0.358,0.506,0.864,5.88,5.95
ペゲーロ,楽天,0.281,120,517,463,130,26,75,3,50,4,139,0,16,0.356,0.49,0.846,5.83,5.75
長野　久義,巨人,0.261,134,516,463,121,16,46,6,46,5,98,1,17,0.334,0.421,0.755,4.72,4.66
阿部　慎之助,巨人,0.262,129,512,455,119,15,76,0,41,8,67,1,13,0.329,0.389,0.718,4.35,4.51
鈴木　誠也,広島,0.3,115,512,437,131,26,90,16,62,6,80,0,12,0.389,0.547,0.936,7.44,7.4
ゲレーロ,中日,0.279,130,510,469,131,35,86,1,24,15,98,0,13,0.333,0.563,0.896,6.38,6.35
小谷野　栄一,オリックス,0.277,130,506,470,130,6,47,0,28,3,60,3,13,0.32,0.349,0.669,3.81,3.75
糸井　嘉男,阪神,0.29,114,493,427,124,17,62,21,59,5,62,0,12,0.381,0.447,0.829,6.23,6.16
外崎　修汰,西武,0.258,135,489,438,113,10,48,23,33,5,109,10,4,0.315,0.39,0.706,4.6,4.57
中島　宏之,オリックス,0.285,124,489,431,123,9,49,0,46,7,93,0,11,0.36,0.392,0.752,5.14,5.12
上本　博紀,阪神,0.284,125,488,409,116,9,38,16,50,4,71,23,7,0.366,0.403,0.769,5.47,5.34
中村　悠平,ヤクルト,0.243,127,486,419,102,4,34,2,42,10,65,11,14,0.324,0.325,0.649,3.46,3.53
中村　剛也,西武,0.217,115,486,415,90,27,79,1,61,4,118,0,12,0.319,0.446,0.765,4.69,4.98
アマダー,楽天,0.237,121,460,417,99,23,65,0,39,2,102,0,18,0.304,0.424,0.729,3.92,4.09
大田　泰示,日本ハム,0.258,118,457,427,110,15,46,5,28,0,88,0,14,0.302,0.417,0.719,4.06,4.06
中谷　将大,阪神,0.241,133,455,411,99,20,61,2,36,5,96,0,5,0.308,0.443,0.751,4.78,4.85
安部　友裕,広島,0.31,123,455,413,128,4,49,17,27,2,94,12,3,0.354,0.4,0.754,5.38,5.14
上林　誠知,ソフトバンク,0.26,134,453,415,108,13,51,12,24,2,96,10,3,0.302,0.434,0.736,4.28,4.25
角中　勝也,ロッテ,0.269,110,452,383,103,8,44,6,62,4,44,1,6,0.375,0.397,0.772,5.76,5.66
茂木　栄五郎,楽天,0.296,103,450,398,118,17,47,3,45,2,84,4,4,0.37,0.497,0.867,6.77,6.54
松本　剛,日本ハム,0.274,115,448,402,110,5,33,6,21,3,61,21,7,0.314,0.353,0.667,3.72,3.62
